j1,j2,j3,j4,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin
-1.0,0.0,-0.1,0.4,-0.75197,0.20197,0.62141,-0.07141,-0.99897,0.04544,0.051536732098351426
-1.0,0.0,-0.1,0.5,-0.75197,0.20197,0.70801,-0.15801,-0.99897,0.04544,0.06251781386814524
-1.0,0.0,-0.1,0.6,-0.75197,0.20197,0.79462,-0.24462,-0.99897,0.04544,0.07829091718465966
-1.0,0.0,-0.1,0.7,-0.75197,0.20197,0.88122,-0.33122,-0.99897,0.04544,0.10080922783483218
-1.0,0.0,-0.1,0.8,-0.75197,0.20197,0.96782,-0.41782,-0.99897,0.04544,0.13219625758203166
-1.0,0.0,-0.1,0.9,-0.75197,0.20197,1.05442,-0.50442,-0.99897,0.04544,0.17422607853640873
-1.0,0.0,-0.0,-1.0,-0.75,0.25,-0.61603,1.11603,-1.0,0.0,0.2245198503296265
-1.0,0.0,-0.0,-0.9,-0.75,0.25,-0.52942,1.02942,-1.0,0.0,0.16501587854958205
-1.0,0.0,-0.0,-0.8,-0.75,0.25,-0.44282,0.94282,-1.0,0.0,0.11697863273025247
-1.0,0.0,-0.0,-0.7,-0.75,0.25,-0.35622,0.85622,-1.0,0.0,0.08045373749442229
-1.0,0.0,-0.0,-0.6,-0.75,0.25,-0.26962,0.76962,-1.0,0.0,0.053841606821567634
-1.0,0.0,-0.0,-0.5,-0.75,0.25,-0.18301,0.68301,-1.0,0.0,0.03490326341131144
-1.0,0.0,-0.0,-0.4,-0.75,0.25,-0.09641,0.59641,-1.0,0.0,0.021429720332665977
-1.0,0.0,-0.0,-0.3,-0.75,0.25,-0.00981,0.50981,-1.0,0.0,0.011504697018334783
-1.0,0.0,-0.0,-0.2,-0.75,0.25,0.07679,0.42321,-1.0,0.0,0.003534758800398958
-1.0,0.0,-0.0,-0.1,-0.75,0.25,0.1634,0.3366,-1.0,0.0,-1.734723475976807e-18
-1.0,0.0,-0.0,-0.0,-0.75,0.25,0.25,0.25,-1.0,0.0,-3.469446951953614e-18
-1.0,0.0,-0.0,0.1,-0.75,0.25,0.3366,0.1634,-1.0,0.0,0.0
-1.0,0.0,-0.0,0.2,-0.75,0.25,0.42321,0.07679,-1.0,0.0,0.0035347588003989665
-1.0,0.0,-0.0,0.3,-0.75,0.25,0.50981,-0.00981,-1.0,0.0,0.011504697018334807
-1.0,0.0,-0.0,0.4,-0.75,0.25,0.59641,-0.09641,-1.0,0.0,0.021429720332665995
-1.0,0.0,-0.0,0.5,-0.75,0.25,0.68301,-0.18301,-1.0,0.0,0.03490326341131144
-1.0,0.0,-0.0,0.6,-0.75,0.25,0.76962,-0.26962,-1.0,0.0,0.05384160682156761
-1.0,0.0,-0.0,0.7,-0.75,0.25,0.85622,-0.35622,-1.0,0.0,0.08045373749442229
-1.0,0.0,-0.0,0.8,-0.75,0.25,0.94282,-0.44282,-1.0,0.0,0.11697863273025248
-1.0,0.0,-0.0,0.9,-0.75,0.25,1.02942,-0.52942,-1.0,0.0,0.16501587854958205
-1.0,0.0,0.1,-1.0,-0.75178,0.30178,-0.64103,1.09103,-0.99915,-0.04113,0.26227237840282264
-1.0,0.0,0.1,-0.9,-0.75178,0.30178,-0.55442,1.00442,-0.99915,-0.04113,0.2029179806132423
-1.0,0.0,0.1,-0.8,-0.75178,0.30178,-0.46782,0.91782,-0.99915,-0.04113,0.15408697905341495
-1.0,0.0,0.1,-0.7,-0.75178,0.30178,-0.38122,0.83122,-0.99915,-0.04113,0.11642902517990371
-1.0,0.0,0.1,-0.6,-0.75178,0.30178,-0.29462,0.74462,-0.99915,-0.04113,0.08875061933441483
-1.0,0.0,0.1,-0.5,-0.75178,0.30178,-0.20801,0.65801,-0.99915,-0.04113,0.06901382799633121
-1.0,0.0,0.1,-0.4,-0.75178,0.30178,-0.12141,0.57141,-0.99915,-0.04113,0.0550842129428918
-1.0,0.0,0.1,-0.3,-0.75178,0.30178,-0.03481,0.48481,-0.99915,-0.04113,0.04507339394799976
